,Label,Prob
128,TSC1,0.962076853
106,GCLM,0.929466624
117,CTH,0.91188202
101,ATG3,0.885615644
169,RRAGD,0.878120712
50,GOT2,0.867176616
82,ATG9A,0.859959202
71,PRKAB1,0.851607596
60,ATG4B,0.846145108
73,RRAGC,0.843940998
182,ATG4A,0.842188982
25,ATG4D,0.839633264
201,WIPI2,0.835232479
112,PRKAG1,0.834104318
91,RPS6KB2,0.829209443
10,GSTP1,0.823235235
33,RPS6KB1,0.818249754
54,PIK3CB,0.817332722
26,ATP6V0A4,0.815774654
80,WIPI1,0.80672325
194,PLCB4,0.805527283
12,MDH1,0.804300892
133,ATP6V0A2,0.797826484
195,PRKAB2,0.79742477
64,GNG12,0.785281318
99,AHCYL1,0.779822778
28,FBP1,0.775337373
79,ULK2,0.772888569
24,ATG2A,0.767413475
138,GNG7,0.763998454
122,IRS2,0.763996798
4,ATG2B,0.762008121
156,CHMP2B,0.758736439
146,PRDX6,0.756922349
108,GOT1,0.748087533
95,SQSTM1,0.746572921
191,IRS1,0.741339576
109,MPC1,0.737367807
9,GPT,0.728530426
63,CYP2A6,0.728332565
111,PDHA1,0.727448195
107,GNAS,0.722947467
61,ATP7B,0.717099473
178,UQCRH,0.708467999
185,CSH1,0.701594906
65,GPT2,0.700776748
189,IGF1,0.700274092
127,SLC7A5,0.699031786
89,NDUFS4,0.696951588
173,SURF1,0.694287
97,ABCC5,0.693443627
14,RAB6B,0.69124774
88,NDUFA5,0.689596708
87,GH1,0.689391272
21,UQCRC2,0.689265278
2,AMD1,0.68918595
110,NDUFS8,0.678425995
78,TCIRG1,0.675461547
103,COX4I2,0.674879829
199,UQCRQ,0.673582695
31,RAB6A,0.666069093
20,UQCRC1,0.659293565
84,ATP8B1,0.657915106
118,DNAJC15,0.649210907
94,SLC27A1,0.642801315
92,SCO1,0.642244669
81,ALG3,0.642028322
72,PTEN,0.637433006
144,PDPK1,0.637226551
7,DENND6A,0.634662475
29,PDHA2,0.634038303
83,ATP6V1H,0.632610423
120,FBP2,0.632378772
175,TOMM22,0.631145142
162,NDUFS1,0.62724481
125,SIRT4,0.618251464
187,GYS1,0.610580994
53,NOS3,0.609123139
17,SLC6A4,0.606938881
170,SESN2,0.593120023
115,WASHC3,0.591678752
100,ARPC2,0.590985938
98,ACSS2,0.588520112
157,COL1A1,0.58793063
200,VPS25,0.587632315
113,SNF8,0.587492591
188,IDH2,0.58731122
15,SLC13A1,0.586395274
137,FGF21,0.585612501
176,TOMM70,0.585296063
36,UQCRFS1,0.58388286
38,XDH,0.582524122
139,GYS2,0.578177161
126,SIRT7,0.576315505
121,GNMT,0.575864255
5,CYB5R1,0.575319045
56,RBBP7,0.575025351
51,JUND,0.568644762
34,TAT,0.565541083
145,PHB2,0.565416652
44,COQ3,0.564252539
39,ATP10D,0.562183469
62,CHD3,0.559486751
18,SOAT1,0.559382156
158,EEF2,0.558227921
161,MSRA,0.557537229
70,PPP4C,0.556143957
166,PTPA,0.552684498
152,AHCYL2,0.552294078
134,CEBPA,0.551461323
114,UQCRHL,0.550765056
52,MAGT1,0.548893531
37,VPS37D,0.548055701
196,SDHAF2,0.547593404
132,ALG5,0.547311853
141,MGAT5,0.547311853
183,CAT,0.544454993
35,TUSC3,0.543497455
186,FOLH1,0.542680611
147,PYGL,0.540768627
16,SLC25A31,0.540703516
140,LRIG1,0.54058706
192,LONP1,0.537506488
142,MLXIP,0.536642446
124,RHOT2,0.535578745
149,VPS36,0.535105915
41,CCT4,0.534989343
150,WASHC1,0.534303833
154,ATP2A1,0.534113567
47,GDI1,0.533983157
180,WDR59,0.533032114
90,PRDX5,0.532632622
11,HOOK2,0.53122508
77,STX4,0.531131171
193,NADSYN1,0.529651463
159,GPX2,0.528654773
48,GDI2,0.528364073
190,INMT,0.528183035
102,ATP7A,0.526566892
123,MLXIPL,0.524968806
105,DENND6B,0.524805382
181,ARF3,0.524746282
167,RBBP5,0.524659698
104,CYB5R2,0.524144722
135,CSHL1,0.52350752
96,UCP2,0.522672628
42,CCT8,0.522655991
57,ROCK2,0.521928439
131,ALDH1A3,0.521596306
148,RICTOR,0.521249856
116,CCS,0.52106985
69,PGAM5,0.520411123
179,VPS33A,0.519647483
163,PAPPA,0.51932395
76,SLC66A1,0.519313842
153,ARIH2,0.519029298
171,SIGLEC8,0.519029298
13,PRELID3A,0.517690222
155,BRK1,0.516962909
27,EZH2,0.516297413
174,TMF1,0.515802171
8,ELP3,0.515721238
1,ALG10,0.51529285
6,DCUN1D2,0.515161389
19,UBD,0.515161389
136,DAGLA,0.514500859
165,POU1F1,0.513886806
143,NDUFB7,0.51297421
85,CCT6A,0.512452806
86,CCT6B,0.512452806
3,APLP2,0.512382402
45,DDX18,0.511854447
164,PCSK2,0.511629433
22,VPS41,0.511240181
68,ING1,0.511145338
40,CBX1,0.511064211
168,RBM38,0.51087139
177,UBE2H,0.51080607
198,SNAP23,0.510172789
67,HCFC2,0.510143292
46,EPS8,0.50958608
172,SNX3,0.50741714
93,SLC25A47,0.507112333
119,ELP1,0.50656078
151,ACTR1B,0.506090965
49,GHRH,0.506024385
197,SGK1,0.505619441
59,ABCC11,0.505598373
75,SLC25A14,0.505564345
30,PDP1,0.505511975
23,APOE,0.503831756
184,CISD2,0.503637519
55,PPFIBP1,0.502412355
160,HAT1,0.502222703
43,CEBPB,0.50212587
66,HCCS,0.501745306
32,RCAN2,0.501589507
129,UCKL1,0.501479753
58,TELO2,0.501430433
130,UTRN,0.501279114
74,SIRT6,0.501197938
